"Description";"Subject";"Subject Label"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/island-of-lemnos";"Island of Lemnos"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/nymphs";"Nymphs"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/vulcan";"Vulcan"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/CF1103";"For Piero ""civilization meant a realm of beauty and happiness as long as men kept in close contact with Nature"""
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/CF1231";"Reintegration of classical style and content in the Italian Renaissance"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/CF1173";"Lack of idealization in the representation of the first stages of the world"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/CF1204";"Piero di Cosimo paintings representing the Era ante Vulcanum and sub Vulcanum were planned as part of the same cycle for Francesco del Pugliese"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/CF1264";"Text variation of Servius' Commentary on Virgil: Vulcan fallen on the island of Lemnos is brought up by nymphs (Illic nutritus ab nimphis)"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/CF1014";"Archaeological research paralleled only in scientific illustrations"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/CF1153";"Illustration of textual variants"
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/CF1333";"The psychological portrait of Piero di Cosimo made by Vasari motivates the artist's attitude toward the first phase of civilization which is evident from these works. Atavistic phenomenon: ""subconscious recollection of a primitive who happened to live in a period of sophisticated civilization"""
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/CF1205";"Piero di Cosimo's representation of the primitive world is an ""extreme and unique manifestation of the general tendency to retrieve the sacrosancta vetustas"""
"<https://w3id.org/icon/data/ART1195-DESC1>";"https://w3id.org/icon/data/CF1203";"""Piero conceived of human evolution as a process due to the inborn faculties and talents of the race"""
"<https://w3id.org/icon/data/ART1001-DESC>";"https://w3id.org/icon/data/man";"man"
"<https://w3id.org/icon/data/ART1001-DESC>";"https://w3id.org/icon/data/lion";"lion"
"<https://w3id.org/icon/data/ART1001-DESC>";"https://w3id.org/icon/data/fighting";"fighting"
"<https://w3id.org/icon/data/ART1001-DESC>";"https://w3id.org/icon/data/story/hercules-fighting-the-lion";"Hercules Fighting the Lion"
"<https://w3id.org/icon/data/ART1001-DESC>";"https://w3id.org/icon/data/hercules";"Hercules"
"<https://w3id.org/icon/data/ART1001-DESC>";"https://w3id.org/icon/data/CF1040";"Classical subject matter represented in classical form"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/treading";"treading"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/chain-with-a-heart";"chain with a heart"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/head-of-a-wolf";"head of a wolf"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/holding-a-book";"holding a book"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/owl";"owl"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/right-hand";"right hand"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/dolphin";"dolphin"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/bear";"bear"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/man";"man"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/head-of-a-dog";"head of a dog"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/bust-with-three-heads";"bust with three heads"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/head-of-a-lion";"head of a lion"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/book";"book"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/pers/good-counsel";"Good Counsel"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/three-headed-companion-of-serapis-three-forms-of-time-past-present-future";"three headed companion of Serapis-three forms of time (past, present, future)"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/dolphin-haste";"dolphin-haste"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/allegory/allegory-of-good-counsel";"Allegory of Good Counsel"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/owl-attribute-of-wisdom";"owl-attribute of wisdom"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/book-attribute-of-wisdom";"book-attribute of wisdom"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/three-headed-companion-of-serapis-prudence";"three headed companion of Serapis-prudence"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/chain-with-a-heart-good-counsel-coming-from-heart";"chain with a heart-good counsel coming from heart"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/bear-anger";"bear-anger"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/CF1135";"Iconographic evolution of classical subjects"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/good-counsel-requires-wisdom-and-prudence";"Good Counsel requires Wisdom and Prudence"
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/CF1374";"With Pierio Valeriano the “Serapis monster en buste” became a modern, ‘‘hieroglyphic"" substitute for all the earlier portrayals of “tripartite Prudence"""
"<https://w3id.org/icon/data/ART1422-DESC>";"https://w3id.org/icon/data/CF1144";"Iconographic evolution of the representation of the three headed companion of Serapis"
